HOUR,DAYWEEK,TOTAL,ALCOHOLRELATED,FATAL,PEDESTRIAN,BICYCLE,MOTORCYCLE,SLEEP,HITANDRUN
0,1,3580,1542,133,191,79,129,11,574
0,2,2870,1063,119,132,73,108,5,424
0,3,3088,1243,133,157,85,117,4,475
0,4,3207,1387,150,143,74,166,10,473
0,5,3866,1661,148,246,103,164,9,623
0,6,7048,3350,274,449,182,283,10,1269
0,7,7772,3785,342,528,145,284,15,1476
1,1,3066,1471,158,144,35,79,15,503
1,2,2273,1003,99,96,41,77,6,366
1,3,2621,1250,116,127,52,90,7,349
1,4,2879,1479,126,134,47,103,7,458
1,5,3787,2065,188,211,75,141,12,651
1,6,7520,4286,360,475,131,273,16,1362
1,7,8248,4550,376,540,130,274,19,1639
2,1,2809,1465,141,117,38,83,15,460
2,2,1920,894,87,77,28,43,15,299
2,3,2259,1113,105,105,37,66,12,336
2,4,2578,1391,137,137,43,89,19,389
2,5,3788,2164,188,160,47,133,15,621
2,6,8252,4904,441,491,86,255,22,1575
2,7,8722,5055,425,487,92,229,29,1750
3,1,1872,713,93,81,21,53,17,255
3,2,1496,498,71,63,12,37,9,182
3,3,1604,569,68,50,31,35,15,196
3,4,1776,757,100,68,16,49,8,214
3,5,2311,1016,97,81,24,60,20,283
3,6,4958,2710,245,177,29,93,27,759
3,7,5345,2941,265,231,54,118,26,903
4,1,1902,435,86,85,32,58,17,196
4,2,1631,316,80,69,43,42,10,152
4,3,1712,299,89,76,28,57,14,142
4,4,1861,386,79,67,41,61,11,195
4,5,2180,568,104,100,38,68,13,214
4,6,3553,1570,175,110,23,71,25,455
4,7,3748,1825,181,140,21,66,30,543
5,1,3702,338,140,214,135,162,19,351
5,2,3713,195,150,234,123,227,14,355
5,3,3622,202,123,219,126,185,14,335
5,4,3632,276,137,243,131,188,14,375
5,5,3679,335,146,228,115,165,9,330
5,6,3512,986,175,169,52,68,34,376
5,7,3223,1152,156,99,27,61,33,389
6,1,7335,241,155,538,355,377,17,616
6,2,7713,187,156,576,404,457,16,688
6,3,7675,220,164,594,367,487,19,641
6,4,7394,235,153,550,419,479,11,617
6,5,6817,280,178,499,359,399,18,585
6,6,4308,673,151,199,134,121,31,404
6,7,3655,787,141,131,54,93,27,336
7,1,15919,298,149,1438,1208,647,20,1172
7,2,18227,261,138,1707,1520,817,20,1292
7,3,17722,239,163,1718,1473,861,16,1301
7,4,17104,295,161,1727,1415,794,20,1285
7,5,14685,290,156,1459,1248,631,19,1083
7,6,5933,454,140,298,315,259,16,456
7,7,4340,544,101,178,163,160,27,364
8,1,14862,258,120,1117,959,520,20,980
8,2,17184,228,132,1336,1133,706,11,1144
8,3,17016,231,141,1368,1180,641,12,1099
8,4,15935,265,116,1216,1158,703,15,1091
8,5,14258,271,131,1172,998,588,13,1018
8,6,7658,354,133,417,520,403,18,541
8,7,5476,379,112,241,348,337,21,364
9,1,10791,208,94,699,698,462,15,693
9,2,11989,201,126,767,796,518,5,752
9,3,12085,229,119,804,839,496,8,751
9,4,11501,218,122,769,742,525,8,741
9,5,10996,220,132,708,725,476,9,743
9,6,9858,345,134,559,886,709,10,703
9,7,7309,340,134,354,576,620,4,500
10,1,10945,248,114,674,690,479,11,741
10,2,11455,209,115,684,725,477,4,731
10,3,11258,235,112,718,798,467,12,734
10,4,10853,259,124,661,691,474,6,708
10,5,11549,254,152,716,719,565,10,737
10,6,12368,409,162,684,1088,1030,9,817
10,7,9749,387,140,476,810,1089,7,723
11,1,12753,325,152,733,799,557,10,838
11,2,12745,296,166,784,818,530,6,871
11,3,12852,312,153,798,890,569,8,849
11,4,12505,318,146,779,805,628,5,861
11,5,14127,370,151,788,882,687,3,992
11,6,14945,505,199,798,1154,1432,4,1042
11,7,11338,455,175,484,835,1431,2,889
12,1,15004,439,154,869,994,687,10,1072
12,2,15272,386,149,940,959,673,10,1109
12,3,15056,363,146,934,977,675,10,1074
12,4,14682,372,165,865,973,724,5,1022
12,5,16923,464,174,958,1027,888,10,1122
12,6,16910,604,214,827,1160,1561,6,1179
12,7,13238,614,196,583,906,1634,8,1023
13,1,15210,474,153,927,1013,756,11,1075
13,2,15292,470,196,979,982,728,14,1086
13,3,15187,449,158,947,1078,684,8,1080
13,4,15060,473,164,925,1063,750,9,1101
13,5,17572,557,211,939,1044,991,15,1310
13,6,17161,744,183,824,1165,1604,14,1322
13,7,14398,742,211,689,924,1645,10,1178
14,1,17885,658,195,1221,1247,839,13,1317
14,2,18207,587,208,1324,1369,833,21,1380
14,3,17747,617,206,1296,1279,819,11,1326
14,4,17802,636,215,1235,1374,876,19,1325
14,5,20923,708,183,1344,1307,1127,16,1601
14,6,16818,994,201,877,1122,1566,10,1479
14,7,14591,1028,223,751,988,1654,15,1357
15,1,21506,868,225,1670,1627,1051,12,1807
15,2,22413,762,219,1695,1812,1046,21,1689
15,3,21537,770,204,1667,1728,1064,14,1655
15,4,21774,844,179,1557,1735,1134,19,1775
15,5,25109,1050,249,1633,1763,1460,15,2010
15,6,16582,1240,258,937,1153,1670,10,1451
15,7,14794,1365,250,788,1029,1690,19,1408
16,1,19768,1043,200,1325,1525,1076,14,1638
16,2,20773,935,192,1339,1745,1201,14,1770
16,3,20562,935,197,1398,1697,1227,14,1701
16,4,20898,995,224,1400,1624,1365,10,1764
16,5,23815,1318,241,1415,1706,1641,14,2076
16,6,16176,1561,253,1032,1159,1550,9,1555
16,7,13817,1574,227,813,989,1396,6,1407
17,1,22213,1331,265,1717,1786,1361,11,2117
17,2,24424,1388,251,1888,1972,1382,14,2251
17,3,24231,1386,229,1830,1896,1512,13,2204
17,4,24214,1380,256,1879,1895,1630,8,2110
17,5,25477,1751,305,1886,1770,1741,8,2409
17,6,16260,2052,279,1327,1090,1428,3,1727
17,7,14234,2034,301,1101,948,1366,9,1652
18,1,16694,1558,263,1784,1416,944,5,1752
18,2,18476,1470,229,1852,1673,1072,7,1825
18,3,18728,1521,232,1869,1640,1133,8,1894
18,4,18731,1606,252,1744,1567,1159,7,1840
18,5,20935,2132,302,1991,1518,1324,5,2334
18,6,15441,2453,290,1482,1002,1121,3,1859
18,7,13414,2470,308,1277,922,1027,6,1796
19,1,10899,1454,212,1242,946,608,5,1359
19,2,11816,1480,222,1382,1016,744,3,1376
19,3,11701,1455,206,1325,976,727,5,1392
19,4,12062,1585,216,1298,1077,726,5,1454
19,5,14998,2276,274,1576,1055,925,3,1905
19,6,12662,2645,292,1288,773,903,4,1867
19,7,11371,2622,300,1135,768,788,2,1746
20,1,8358,1476,211,979,601,457,3,1160
20,2,8626,1488,227,1056,623,506,3,1149
20,3,9028,1644,219,1076,628,557,2,1232
20,4,9098,1743,237,1006,617,564,1,1216
20,5,11423,2469,308,1228,718,674,0,1719
20,6,10687,2773,289,1156,550,613,8,1809
20,7,9883,2758,315,993,521,572,3,1740
21,1,7212,1578,191,718,405,348,6,1104
21,2,7539,1565,181,784,435,384,6,1056
21,3,7905,1646,225,754,489,458,4,1167
21,4,8247,1868,231,798,455,425,3,1227
21,5,10659,2818,341,1059,461,540,2,1745
21,6,10317,3013,341,1113,430,477,6,1860
21,7,8675,2642,267,796,343,383,6,1528
22,1,5534,1443,171,440,246,238,6,855
22,2,5797,1465,177,462,271,294,7,862
22,3,5956,1596,145,445,264,324,2,875
22,4,6497,1883,195,506,254,350,7,972
22,5,9702,2932,268,801,378,490,13,1652
22,6,9682,3373,311,850,321,422,9,1704
22,7,6809,2283,221,476,225,288,4,1225
23,1,3831,1178,143,247,126,163,9,597
23,2,4120,1358,160,272,156,184,7,621
23,3,4441,1477,128,302,160,222,5,718
23,4,4895,1755,153,295,190,246,2,769
23,5,8247,3091,319,608,254,372,8,1426
23,6,8893,3613,335,666,230,346,11,1691
23,7,5087,1865,178,358,142,187,13,928
